year,month,day,hour,map_mm,mat_degc,ptps
1979,01,31,18,0.0,-6.416666666666665,1.0
1979,02,01,00,0.0,-14.555555555555555,1.0
1979,02,01,06,0.0,-17.814814814814817,1.0
1979,02,01,12,0.0,-13.75,1.0
1979,02,01,18,0.0,-5.37962962962963,1.0
1979,02,02,00,0.0,-11.129629629629628,1.0
1979,02,02,06,0.0,-15.648148148148149,1.0
1979,02,02,12,0.0,-13.49074074074074,1.0
1979,02,02,18,0.0,-4.7870370370370345,1.0
1979,02,03,00,0.508,-8.453703703703702,1.0
1979,02,03,06,6.172199999999999,-11.75,1.0
1979,02,03,12,2.8194,-6.648148148148148,1.0
1979,02,03,18,5.6388,-3.888888888888889,1.0
1979,02,04,00,9.6266,-3.9814814814814827,1.0
1979,02,04,06,5.334,-4.046296296296297,1.0
1979,02,04,12,9.9568,-2.8981481481481493,1.0
1979,02,04,18,2.6416,-1.6296296296296298,0.9933333333333333
1979,02,05,00,0.45720000000000005,-2.805555555555556,1.0
1979,02,05,06,2.0827999999999998,-1.0370370370370354,0.9566666666666667
1979,02,05,12,6.5786,-1.9537037037037033,0.9983333333333334
1979,02,05,18,1.9811999999999999,-0.5555555555555556,0.9566666666666667
1979,02,06,00,7.874,-2.6851851851851847,1.0
1979,02,06,06,14.325600000000001,-1.6018518518518536,0.9766666666666666
1979,02,06,12,10.007599999999998,-0.777777777777779,0.93
1979,02,06,18,3.6067999999999993,0.36111111111111033,0.6616666666666667
1979,02,07,00,8.026399999999999,-1.046296296296298,0.8850000000000001
1979,02,07,06,75.7682,0.10185185185185001,0.6116666666666667
1979,02,07,12,2.5654,-1.8333333333333337,0.9983333333333334
1979,02,07,18,0.45719999999999994,-0.6759259259259269,0.8966666666666666
1979,02,08,00,2.4892,-2.62962962962963,1.0
1979,02,08,06,0.17779999999999999,-1.6574074074074079,0.975
1979,02,08,12,0.0,0.0740740740740738,0.7366666666666667
1979,02,08,18,0.2032,3.2037037037037033,0.12166666666666666
1979,02,09,00,4.1402,-0.3888888888888885,0.9216666666666665
1979,02,09,06,9.017,-1.2314814814814825,0.975
1979,02,09,12,14.427200000000001,0.1851851851851865,0.65
1979,02,09,18,14.1224,1.4999999999999976,0.295
1979,02,10,00,3.2765999999999997,-0.9074074074074091,0.8716666666666667
1979,02,10,06,4.2418,-1.481481481481482,0.9666666666666667
1979,02,10,12,4.3942000000000005,-0.7129629629629619,0.8916666666666666
1979,02,10,18,13.334999999999999,0.8333333333333334,0.4283333333333333
1979,02,11,00,9.9822,-0.09259259259259325,0.7433333333333333
1979,02,11,06,8.7884,-1.7037037037037035,0.985
1979,02,11,12,6.0452,-1.2592592592592586,0.9616666666666666
1979,02,11,18,4.8768,0.5925925925925944,0.6183333333333333
1979,02,12,00,10.0584,0.3055555555555579,0.5516666666666666
1979,02,12,06,1.3208,0.3888888888888865,0.5683333333333334
1979,02,12,12,0.48260000000000003,0.20370370370370397,0.9066666666666666
1979,02,12,18,19.1516,2.4074074074074088,0.13833333333333334
1979,02,13,00,4.8006,1.8055555555555556,0.125
1979,02,13,06,5.715,0.4259259259259254,0.585
1979,02,13,12,2.5907999999999998,-0.7037037037037032,0.9366666666666666
1979,02,13,18,1.3716,-0.3888888888888885,0.9366666666666666
1979,02,14,00,2.4384,-1.4999999999999996,0.9666666666666667
1979,02,14,06,0.889,-3.212962962962962,1.0
1979,02,14,12,1.8288000000000002,-3.7592592592592586,1.0
1979,02,14,18,0.1016,-1.787037037037038,1.0
1979,02,15,00,0.0,-5.685185185185186,1.0
1979,02,15,06,0.3302,-5.453703703703703,1.0
1979,02,15,12,4.8514,-4.083333333333332,1.0
1979,02,15,18,4.953,-1.185185185185187,1.0
1979,02,16,00,1.778,-5.12962962962963,1.0
1979,02,16,06,4.318,-6.074074074074074,1.0
1979,02,16,12,3.7337999999999996,-3.277777777777779,1.0
1979,02,16,18,6.0452,-2.6111111111111107,1.0
1979,02,17,00,5.1053999999999995,-5.518518518518519,1.0
1979,02,17,06,1.8288000000000002,-4.25925925925926,1.0
1979,02,17,12,2.0827999999999998,-2.768518518518519,1.0
1979,02,17,18,2.8447999999999998,-1.3425925925925932,1.0
1979,02,18,00,4.699,-2.2500000000000004,1.0
1979,02,18,06,8.0772,-2.805555555555556,1.0
1979,02,18,12,3.2765999999999997,-2.472222222222222,1.0
1979,02,18,18,1.651,-1.4259259259259258,1.0
1979,02,19,00,0.35559999999999997,-3.5740740740740744,1.0
1979,02,19,06,4.1402,-3.8981481481481475,1.0
1979,02,19,12,11.1252,-1.999999999999999,0.9883333333333333
1979,02,19,18,4.1402,-0.9351851851851853,0.9533333333333333
1979,02,20,00,0.0508,-3.9537037037037015,1.0
1979,02,20,06,0.0762,-5.453703703703703,1.0
1979,02,20,12,1.0413999999999999,-3.527777777777777,1.0
1979,02,20,18,4.5466,-0.0370370370370369,0.93
1979,02,21,00,3.7083999999999997,-2.231481481481481,0.995
1979,02,21,06,0.0,-3.7314814814814827,1.0
1979,02,21,12,0.0,-2.8981481481481493,0.995
1979,02,21,18,5.9182,-0.777777777777779,0.98
1979,02,22,00,0.38099999999999995,-4.138888888888889,1.0
1979,02,22,06,0.6604,-3.101851851851851,1.0
1979,02,22,12,2.0065999999999997,-3.11111111111111,0.9983333333333334
1979,02,22,18,5.0292,-0.0370370370370369,0.9533333333333333
1979,02,23,00,1.9811999999999999,-1.8888888888888902,0.9916666666666667
1979,02,23,06,2.0065999999999997,-2.7314814814814823,1.0
1979,02,23,12,5.384799999999999,-2.296296296296294,0.9983333333333334
1979,02,23,18,5.5626,-1.5462962962962952,0.9866666666666667
1979,02,24,00,4.292599999999999,-4.0,1.0
1979,02,24,06,1.8033999999999997,-3.5000000000000004,1.0
1979,02,24,12,3.175,-1.9722222222222225,0.9983333333333334
1979,02,24,18,0.9652,0.1481481481481476,0.945
1979,02,25,00,0.5841999999999999,-0.45370370370370355,0.9916666666666667
1979,02,25,06,0.9397999999999999,-1.0925925925925937,1.0
1979,02,25,12,0.5588,-0.44444444444444486,0.9683333333333333
1979,02,25,18,0.0508,1.8518518518518532,0.45333333333333337
1979,02,26,00,5.0038,-0.37962962962962976,0.9049999999999999
1979,02,26,06,2.9972,-1.3611111111111107,0.9816666666666666
1979,02,26,12,10.769599999999999,-1.046296296296298,0.9533333333333333
1979,02,26,18,4.191,-0.26851851851851904,0.9033333333333333
1979,02,27,00,0.7619999999999999,-2.259259259259259,0.9883333333333333
1979,02,27,06,0.9397999999999999,-2.8518518518518534,1.0
1979,02,27,12,4.9784,-1.9444444444444444,0.9933333333333333
1979,02,27,18,8.3058,-1.083333333333333,0.9899999999999999
1979,02,28,00,4.495799999999999,-2.6851851851851847,1.0
1979,02,28,06,4.064,-3.4537037037037046,1.0
1979,02,28,12,0.1524,-4.268518518518519,1.0
1979,02,28,18,0.0,-2.166666666666668,1.0
1979,03,01,00,0.0,-3.8425925925925934,1.0
1979,03,01,06,0.0,-5.61111111111111,1.0
1979,03,01,12,0.0,-5.194444444444443,1.0
1979,03,01,18,0.0,-1.6944444444444449,1.0
1979,03,02,00,0.0,-6.12037037037037,1.0
1979,03,02,06,0.0,-7.0092592592592595,1.0
1979,03,02,12,0.0,-4.833333333333333,1.0
1979,03,02,18,0.0254,0.7037037037037032,0.9533333333333333
1979,03,03,00,0.8128,-2.1018518518518507,0.9983333333333334
1979,03,03,06,27.609799999999996,-2.4907407407407414,0.9916666666666667
