year,month,day,flow_cfs,Source
2009,10,11,911,USGS_12210700
2009,10,12,885,USGS_12210700
2009,10,13,873,USGS_12210700
2009,10,14,970,USGS_12210700
2009,10,15,1970,USGS_12210700
2009,10,16,2330,USGS_12210700
2009,10,17,14200,USGS_12210700
2009,10,18,10900,USGS_12210700
2009,10,19,5170,USGS_12210700
2009,10,20,3720,USGS_12210700
2009,10,21,3300,USGS_12210700
2009,10,22,3570,USGS_12210700
2009,10,23,4950,USGS_12210700
2009,10,24,6710,USGS_12210700
2009,10,25,4190,USGS_12210700
2009,10,26,8830,USGS_12210700
2009,10,27,6700,USGS_12210700
2009,10,28,4710,USGS_12210700
2009,10,29,4100,USGS_12210700
2009,10,30,7180,USGS_12210700
2009,10,31,14400,USGS_12210700
2009,11,1,7330,USGS_12210700
2009,11,2,5300,USGS_12210700
2009,11,3,4430,USGS_12210700
2009,11,4,3800,USGS_12210700
2009,11,5,4500,USGS_12210700
2009,11,6,10400,USGS_12210700
2009,11,7,6960,USGS_12210700
2009,11,8,6220,USGS_12210700
2009,11,9,5850,USGS_12210700
2009,11,10,7590,USGS_12210700
2009,11,11,7520,USGS_12210700
2009,11,12,5900,USGS_12210700
2009,11,13,5030,USGS_12210700
2009,11,14,4440,USGS_12210700
2009,11,15,4620,USGS_12210700
2009,11,16,12800,USGS_12210700
2009,11,17,19700,USGS_12210700
2009,11,18,9660,USGS_12210700
2009,11,19,9060,USGS_12210700
2009,11,20,14600,USGS_12210700
2009,11,21,10500,USGS_12210700
2009,11,22,8750,USGS_12210700
2009,11,23,7900,USGS_12210700
2009,11,24,7000,USGS_12210700
2009,11,25,7210,USGS_12210700
2009,11,26,22600,USGS_12210700
2009,11,27,11100,USGS_12210700
2009,11,28,7580,USGS_12210700
2009,11,29,7990,USGS_12210700
2009,11,30,8640,USGS_12210700
2009,12,1,7320,USGS_12210700
2009,12,2,5810,USGS_12210700
2009,12,3,5040,USGS_12210700
2009,12,4,4520,USGS_12210700
2009,12,5,4060,USGS_12210700
2009,12,6,3720,USGS_12210700
2009,12,7,3410,USGS_12210700
2009,12,8,3170,USGS_12210700
2009,12,9,2990,USGS_12210700
2009,12,10,2860,USGS_12210700
2009,12,11,2820,USGS_12210700
2009,12,12,2750,USGS_12210700
2009,12,13,2660,USGS_12210700
2009,12,14,2570,USGS_12210700
2009,12,15,2570,USGS_12210700
2009,12,16,3030,USGS_12210700
2009,12,17,4360,USGS_12210700
2009,12,18,3440,USGS_12210700
2009,12,19,3560,USGS_12210700
2009,12,20,4620,USGS_12210700
2009,12,21,9920,USGS_12210700
2009,12,22,6480,USGS_12210700
2009,12,23,4510,USGS_12210700
2009,12,24,3820,USGS_12210700
2009,12,25,3400,USGS_12210700
2009,12,26,3130,USGS_12210700
2009,12,27,2900,USGS_12210700
2009,12,28,2720,USGS_12210700
2009,12,29,2620,USGS_12210700
2009,12,30,2560,USGS_12210700
2009,12,31,2520,USGS_12210700
2010,1,1,3250,USGS_12210700
2010,1,2,8280,USGS_12210700
2010,1,3,5660,USGS_12210700
2010,1,4,5470,USGS_12210700
2010,1,5,7010,USGS_12210700
2010,1,6,5500,USGS_12210700
2010,1,7,4490,USGS_12210700
2010,1,8,4360,USGS_12210700
2010,1,9,7620,USGS_12210700
2010,1,10,5830,USGS_12210700
2010,1,11,14600,USGS_12210700
2010,1,12,18500,USGS_12210700
2010,1,13,12800,USGS_12210700
2010,1,14,9370,USGS_12210700
2010,1,15,12300,USGS_12210700
2010,1,16,10100,USGS_12210700
2010,1,17,7460,USGS_12210700
2010,1,18,6540,USGS_12210700
2010,1,19,5640,USGS_12210700
2010,1,20,4940,USGS_12210700
2010,1,21,4450,USGS_12210700
2010,1,22,4060,USGS_12210700
2010,1,23,3720,USGS_12210700
2010,1,24,3490,USGS_12210700
2010,1,25,3490,USGS_12210700
2010,1,26,3300,USGS_12210700
2010,1,27,3080,USGS_12210700
2010,1,28,2920,USGS_12210700
2010,1,29,2790,USGS_12210700
2010,1,30,2870,USGS_12210700
2010,1,31,2910,USGS_12210700
2010,2,1,2860,USGS_12210700
2010,2,2,2770,USGS_12210700
2010,2,3,2700,USGS_12210700
2010,2,4,2610,USGS_12210700
2010,2,5,2630,USGS_12210700
2010,2,6,2610,USGS_12210700
2010,2,7,2460,USGS_12210700
2010,2,8,2430,USGS_12210700
2010,2,9,2360,USGS_12210700
2010,2,10,2260,USGS_12210700
2010,2,11,2240,USGS_12210700
2010,2,12,2970,USGS_12210700
2010,2,13,3390,USGS_12210700
2010,2,14,5660,USGS_12210700
2010,2,15,5110,USGS_12210700
2010,2,16,5510,USGS_12210700
2010,2,17,4930,USGS_12210700
2010,2,18,3740,USGS_12210700
2010,2,19,3130,USGS_12210700
2010,2,20,2700,USGS_12210700
2010,2,21,2370,USGS_12210700
2010,2,22,2100,USGS_12210700
2010,2,23,1880,USGS_12210700
2010,2,24,1870,USGS_12210700
2010,2,25,2170,USGS_12210700
2010,2,26,2270,USGS_12210700
2010,2,27,2810,USGS_12210700
2010,2,28,2930,USGS_12210700
2010,3,1,2470,USGS_12210700
2010,3,2,2220,USGS_12210700
2010,3,3,2290,USGS_12210700
2010,3,4,2170,USGS_12210700
2010,3,5,1960,USGS_12210700
2010,3,6,1830,USGS_12210700
2010,3,7,1740,USGS_12210700
2010,3,8,1780,USGS_12210700
2010,3,9,1620,USGS_12210700
2010,3,10,1540,USGS_12210700
2010,3,11,1520,USGS_12210700
2010,3,12,2130,USGS_12210700
2010,3,13,2100,USGS_12210700
2010,3,14,1810,USGS_12210700
2010,3,15,1750,USGS_12210700
2010,3,16,1900,USGS_12210700
2010,3,17,2390,USGS_12210700
2010,3,18,2130,USGS_12210700
2010,3,19,1880,USGS_12210700
2010,3,20,1730,USGS_12210700
2010,3,21,1750,USGS_12210700
2010,3,22,2620,USGS_12210700
2010,3,23,2240,USGS_12210700
2010,3,24,1980,USGS_12210700
2010,3,25,1960,USGS_12210700
2010,3,26,2870,USGS_12210700
2010,3,27,2750,USGS_12210700
2010,3,28,2750,USGS_12210700
2010,3,29,4240,USGS_12210700
2010,3,30,3860,USGS_12210700
2010,3,31,3050,USGS_12210700
2010,4,1,2660,USGS_12210700
2010,4,2,2360,USGS_12210700
2010,4,3,2500,USGS_12210700
2010,4,4,2340,USGS_12210700
2010,4,5,2210,USGS_12210700
2010,4,6,2240,USGS_12210700
2010,4,7,2280,USGS_12210700
2010,4,8,2780,USGS_12210700
2010,4,9,2550,USGS_12210700
2010,4,10,2260,USGS_12210700
2010,4,11,2080,USGS_12210700
2010,4,12,1980,USGS_12210700
2010,4,13,2150,USGS_12210700
2010,4,14,2230,USGS_12210700
2010,4,15,2290,USGS_12210700
2010,4,16,2420,USGS_12210700
2010,4,17,2750,USGS_12210700
2010,4,18,3050,USGS_12210700
2010,4,19,3160,USGS_12210700
2010,4,20,3450,USGS_12210700
2010,4,21,4030,USGS_12210700
2010,4,22,3630,USGS_12210700
2010,4,23,2970,USGS_12210700
2010,4,24,2790,USGS_12210700
2010,4,25,2670,USGS_12210700
2010,4,26,2480,USGS_12210700
2010,4,27,2910,USGS_12210700
2010,4,28,3440,USGS_12210700
2010,4,29,3110,USGS_12210700
2010,4,30,3010,USGS_12210700
2010,5,1,3120,USGS_12210700
2010,5,2,2980,USGS_12210700
2010,5,3,5060,USGS_12210700
2010,5,4,4420,USGS_12210700
2010,5,5,3600,USGS_12210700
2010,5,6,3040,USGS_12210700
2010,5,7,2860,USGS_12210700
2010,5,8,2680,USGS_12210700
2010,5,9,2530,USGS_12210700
2010,5,10,2440,USGS_12210700
2010,5,11,2420,USGS_12210700
2010,5,12,2580,USGS_12210700
2010,5,13,2650,USGS_12210700
2010,5,14,2850,USGS_12210700
2010,5,15,3170,USGS_12210700
2010,5,16,3460,USGS_12210700
2010,5,17,3870,USGS_12210700
2010,5,18,4280,USGS_12210700
2010,5,19,4500,USGS_12210700
2010,5,20,5260,USGS_12210700
2010,5,21,3990,USGS_12210700
2010,5,22,3210,USGS_12210700
2010,5,23,2800,USGS_12210700
2010,5,24,2610,USGS_12210700
2010,5,25,2430,USGS_12210700
2010,5,26,2520,USGS_12210700
2010,5,27,3100,USGS_12210700
2010,5,28,6290,USGS_12210700
2010,5,29,5690,USGS_12210700
2010,5,30,5250,USGS_12210700
2010,5,31,5060,USGS_12210700
2010,6,1,5930,USGS_12210700
2010,6,2,7320,USGS_12210700
2010,6,3,8940,USGS_12210700
2010,6,4,5910,USGS_12210700
2010,6,5,4700,USGS_12210700
2010,6,6,4430,USGS_12210700
2010,6,7,5690,USGS_12210700
2010,6,8,5470,USGS_12210700
2010,6,9,5580,USGS_12210700
2010,6,10,6110,USGS_12210700
2010,6,11,5730,USGS_12210700
2010,6,12,5440,USGS_12210700
2010,6,13,5450,USGS_12210700
2010,6,14,4910,USGS_12210700
2010,6,15,4190,USGS_12210700
2010,6,16,3800,USGS_12210700
2010,6,17,3650,USGS_12210700
2010,6,18,3530,USGS_12210700
2010,6,19,3810,USGS_12210700
2010,6,20,3880,USGS_12210700
2010,6,21,3800,USGS_12210700
2010,6,22,3670,USGS_12210700
