year,month,day,hour,map_mm,mat_degc,ptps
2003,10,1,0,0,5.657,0.0616666666666667
2003,10,1,6,0,9.435,0.0283333333333333
2003,10,1,12,0,17.148,0
2003,10,1,18,0,7.361,0.0233333333333333
2003,10,2,0,0,4.889,0.0783333333333333
2003,10,2,6,0,8.926,0.035
2003,10,2,12,0,16.5,0
2003,10,2,18,0,6.917,0.05
2003,10,3,0,0,4.102,0.2
2003,10,3,6,0,8.389,0.0666666666666667
2003,10,3,12,0,14.593,0
2003,10,3,18,0,7.787,0.0433333333333333
2003,10,4,0,0,6.176,0.0833333333333333
2003,10,4,6,0,9.722,0.0616666666666667
2003,10,4,12,0,15.444,0
2003,10,4,18,0,7.065,0.0566666666666667
2003,10,5,0,0,5.444,0.075
2003,10,5,6,0,8.454,0.025
2003,10,5,12,0,13.843,0
2003,10,5,18,0,8.824,0.0133333333333333
2003,10,6,0,0,8.37,0.0133333333333333
2003,10,6,6,0,11.157,0.005
2003,10,6,12,0.4318,13.315,0
2003,10,6,18,13.335,10.574,0.00333333333333333
2003,10,7,0,4.2926,9.111,0.01
2003,10,7,6,0.9906,8.194,0.0166666666666667
2003,10,7,12,0.2286,10.463,0.00666666666666667
2003,10,7,18,0.0254,8.537,0.01
2003,10,8,0,0,8.63,0.01
2003,10,8,6,1.5494,10.444,0
2003,10,8,12,1.9304,9.037,0.01
2003,10,8,18,2.5146,6.981,0.0216666666666667
2003,10,9,0,1.27,6.185,0.03
2003,10,9,6,0.2286,6.963,0.02
2003,10,9,12,0.254,8.602,0.0133333333333333
2003,10,9,18,0.3302,5.972,0.0283333333333333
2003,10,10,0,0,5.185,0.04
2003,10,10,6,0.0508,6.463,0.0216666666666667
2003,10,10,12,0,7.528,0.0116666666666667
2003,10,10,18,0,5.009,0.045
2003,10,11,0,0.1016,5.213,0.0483333333333333
2003,10,11,6,1.397,7.111,0.0216666666666667
2003,10,11,12,4.5974,8.009,0.0116666666666667
2003,10,11,18,2.3368,5.972,0.0383333333333333
2003,10,12,0,4.5212,5.5,0.045
2003,10,12,6,3.1496,7.037,0.02
2003,10,12,12,6.9342,8.611,0.01
2003,10,12,18,3.683,7.528,0.015
2003,10,13,0,0.3556,5.824,0.0283333333333333
2003,10,13,6,0,6.352,0.0266666666666667
2003,10,13,12,0,9.62,0.01
2003,10,13,18,0,4.296,0.0783333333333333
2003,10,14,0,0,3.954,0.1
2003,10,14,6,0,5.787,0.0516666666666667
2003,10,14,12,0,7.407,0.0366666666666667
2003,10,14,18,0,2.278,0.25
2003,10,15,0,0,1.759,0.325
2003,10,15,6,5.0038,6.519,0.0366666666666667
2003,10,15,12,9.779,6.944,0.0216666666666667
2003,10,15,18,2.159,4.519,0.0516666666666667
2003,10,16,0,20.1422,4.88,0.0483333333333333
2003,10,16,6,39.37,7.556,0.0166666666666667
2003,10,16,12,64.8208,10.62,0.00166666666666667
2003,10,16,18,48.8442,10.12,0.01
2003,10,17,0,29.8704,9.88,0.01
2003,10,17,6,12.9032,10.259,0.00666666666666667
2003,10,17,12,12.1412,10.611,0.00666666666666667
2003,10,17,18,0.0508,9.639,0.01
2003,10,18,0,0.2032,9.935,0.01
2003,10,18,6,0,11.361,0.00666666666666667
2003,10,18,12,0,14.343,0
2003,10,18,18,0.1016,10.787,0.00833333333333333
